age,total_cases,death_cases,current_date,active_cases,re_rate,re_cases
20s,3248422,65,2022-08-17,27745.0,0.8541070094956875,236.9719897845785
20s,3276742,65,2022-08-18,28320.0,0.8642731103028557,244.76214483776872
20s,3298872,65,2022-08-19,22130.0,0.6708353643305954,148.45586612636077
20s,3318145,65,2022-08-20,19273.0,0.5808365818853607,111.94463442676557
20s,3333071,66,2022-08-21,14926.0,0.4478152430596288,66.84090317908019
20s,3341132,66,2022-08-22,8061.0,0.2412655351539538,19.448414788760214
20s,3361277,66,2022-08-23,20145.0,0.5993257919534748,120.7341807890275
20s,3381063,66,2022-08-24,19786.0,0.5852005715362298,115.78778508415844
20s,3397622,66,2022-08-25,16559.0,0.4873702842752961,80.70364537314629
20s,3411494,67,2022-08-26,13872.0,0.406625367067918,56.40707091966159
20s,3423734,67,2022-08-27,12240.0,0.3575044089289647,43.75853965290528
20s,3434052,67,2022-08-28,10318.0,0.30046137915209203,31.001605100912858
20s,3439462,67,2022-08-29,5410.0,0.15729204160418112,8.5094994507862
20s,3453498,67,2022-08-30,14036.0,0.40642849655624524,57.04630377663459
20s,3467099,67,2022-08-31,13601.0,0.3922876156694689,53.35503860720447
20s,3478005,67,2022-09-01,10906.0,0.3135705670348375,34.19800604081938
20s,3489487,67,2022-09-02,11482.0,0.32904550153074075,37.78100448575965
20s,3499033,67,2022-09-03,9546.0,0.2728182329232105,26.043228514849673
20s,3507132,67,2022-09-04,8099.0,0.23092943179783368,18.70297468130655
20s,3507132,67,2022-09-04,0.0,0.0,0.0
